Month,Duration of job search,State and territory (STT): ASGS (2011),Unemployed total ('000)
Mar-1991,26 weeks and under 52 weeks (6-12 months),Queensland,20.6180346
Mar-1991,26 weeks and under 52 weeks (6-12 months),South Australia,10.2389284
Mar-1991,26 weeks and under 52 weeks (6-12 months),Western Australia,12.4966037
Mar-1991,26 weeks and under 52 weeks (6-12 months),Tasmania,3.4402244
Mar-1991,26 weeks and under 52 weeks (6-12 months),Northern Territory,0.6875512
Mar-1991,26 weeks and under 52 weeks (6-12 months),Australian Capital Territory,1.0485711
Mar-1991,52 weeks and under 104 weeks (1-2 years),New South Wales,27.683924
Mar-1991,52 weeks and under 104 weeks (1-2 years),Victoria,19.6180501
Mar-1991,52 weeks and under 104 weeks (1-2 years),Queensland,14.4904143
Mar-1991,52 weeks and under 104 weeks (1-2 years),South Australia,7.6634391
Mar-1991,52 weeks and under 104 weeks (1-2 years),Western Australia,10.6278654
Mar-1991,52 weeks and under 104 weeks (1-2 years),Tasmania,3.771749
Mar-1991,52 weeks and under 104 weeks (1-2 years),Northern Territory,0.5121096
Mar-1991,52 weeks and under 104 weeks (1-2 years),Australian Capital Territory,1.3050914
Mar-1991,104 weeks and over (2 years and over),New South Wales,30.6412924
Mar-1991,104 weeks and over (2 years and over),Victoria,16.2537746
Mar-1991,104 weeks and over (2 years and over),Queensland,13.0413752
Mar-1991,104 weeks and over (2 years and over),South Australia,10.1691192
Mar-1991,104 weeks and over (2 years and over),Western Australia,5.2225663
Mar-1991,104 weeks and over (2 years and over),Tasmania,2.847054
Mar-1991,104 weeks and over (2 years and over),Northern Territory,0.3729879
Mar-1991,104 weeks and over (2 years and over),Australian Capital Territory,0.3453126
Apr-1991,Under 4 weeks (under 1 month),New South Wales,43.9945051
Apr-1991,Under 4 weeks (under 1 month),Victoria,38.2052838
Apr-1991,Under 4 weeks (under 1 month),Queensland,31.324702
Apr-1991,Under 4 weeks (under 1 month),South Australia,13.6669585
Apr-1991,Under 4 weeks (under 1 month),Western Australia,15.7378956
Apr-1991,Under 4 weeks (under 1 month),Tasmania,4.3684633
Apr-1991,Under 4 weeks (under 1 month),Northern Territory,1.5208983
Apr-1991,Under 4 weeks (under 1 month),Australian Capital Territory,1.9256029
Apr-1991,4 weeks and under 13 weeks (1-3 months),New South Wales,56.5936299
Apr-1991,4 weeks and under 13 weeks (1-3 months),Victoria,62.3593574
Apr-1991,4 weeks and under 13 weeks (1-3 months),Queensland,40.0316166
Apr-1991,4 weeks and under 13 weeks (1-3 months),South Australia,13.3643285
Apr-1991,4 weeks and under 13 weeks (1-3 months),Western Australia,25.5330663
Apr-1991,4 weeks and under 13 weeks (1-3 months),Tasmania,4.2319466
Apr-1991,4 weeks and under 13 weeks (1-3 months),Northern Territory,2.6458925
Apr-1991,4 weeks and under 13 weeks (1-3 months),Australian Capital Territory,2.6987598
Apr-1991,13 weeks and under 26 weeks (3-6 months),New South Wales,56.8654359
Apr-1991,13 weeks and under 26 weeks (3-6 months),Victoria,58.3771655
Apr-1991,13 weeks and under 26 weeks (3-6 months),Queensland,40.8507548
Apr-1991,13 weeks and under 26 weeks (3-6 months),South Australia,14.5184715
Apr-1991,13 weeks and under 26 weeks (3-6 months),Western Australia,22.3304099
Apr-1991,13 weeks and under 26 weeks (3-6 months),Tasmania,4.4827329
